Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Chestnut Hill, MA, Conte Forum"	Conte Forum	Chestnut Hill	MA	Massachusetts	Boston College 		ACC 	"8,606"	1988
"Clemson, SC, Littlejohn Coliseum"	Littlejohn Coliseum	Clemson	SC	South Carolina	Clemson 		ACC 	"10,000"	1968
"Durham, NC, Cameron Indoor Stadium"	Cameron Indoor Stadium	Durham	NC	North Carolina	Duke 		ACC 	"9,314"	1940
"Tallahassee, FL, Donald L. Tucker Civic Center"	Donald L. Tucker Civic Center	Tallahassee	FL	Florida	Florida State 		ACC 	"12,100"	1981
"Atlanta, GA, Hank McCamish Pavilion"	Hank McCamish Pavilion	Atlanta	GA	Georgia	Georgia Tech 		ACC 	"8,600"	1956
"Louisville, KY, KFC Yum! Center"	KFC Yum! Center	Louisville	KY	Kentucky	Louisville 		ACC 	"22,090"	2010
"Coral Gables, FL, Watsco Center"	Watsco Center	Coral Gables	FL	Florida	Miami (FL) 		ACC 	"7,972"	2003
"Chapel Hill, NC, Dean Smith Center"	Dean Smith Center	Chapel Hill	NC	North Carolina	North Carolina 	Men	ACC 	"21,750"	1986
"Raleigh, NC, PNC Arena"	PNC Arena	Raleigh	NC	North Carolina	North Carolina State 	Men	ACC 	"19,557"	1999
"Notre Dame, IN, Edmund P. Joyce Center"	Edmund P. Joyce Center	Notre Dame	IN	Indiana	Notre Dame 		ACC 	"9,149"	1968
"Pittsburgh, PA, Petersen Events Center"	Petersen Events Center	Pittsburgh	PA	Pennsylvania	Pittsburgh 		ACC 	"12,508"	2002
"Syracuse, NY, Carrier Dome"	Carrier Dome	Syracuse	NY	New York	Syracuse 		ACC 	"35,446"	1980
"Charlottesville, VA, John Paul Jones Arena"	John Paul Jones Arena	Charlottesville	VA	Virginia	Virginia 		ACC 	"14,593"	2006
"Blacksburg, VA, Cassell Coliseum"	Cassell Coliseum	Blacksburg	VA	Virginia	Virginia Tech 		ACC 	"9,847"	1962
"Winston-Salem, NC, Lawrence Joel Veterans Memorial Coliseum"	Lawrence Joel Veterans Memorial Coliseum	Winston-Salem	NC	North Carolina	Wake Forest 		ACC 	"14,665"	1989
"Guilderland, NY, SEFCU Arena"	SEFCU Arena	Guilderland	NY	New York	Albany 		America East 	"4,538"	1992
"Vestal, NY, Binghamton University Events Center"	Binghamton University Events Center	Vestal	NY	New York	Binghamton 		America East 	"5,142"	2004
"Hartford, CT, Chase Arena"	Chase Arena	Hartford	CT	Connecticut	Hartford 		America East 	"4,017"	1990
"Bangor, ME, Cross Insurance Center"	Cross Insurance Center	Bangor	ME	Maine	Maine 		America East 	"5,800"	2013
"Durham, NH, Lundholm Gym"	Lundholm Gym	Durham	NH	New Hampshire	New Hampshire 		America East 	"3,500"	1938
"Stony Brook, NY, Island Federal Credit Union Arena"	Island Federal Credit Union Arena	Stony Brook	NY	New York	Stony Brook 		America East 	"4,160"	1967
"Lowell, MA, Costello Athletic Center"	Costello Athletic Center	Lowell	MA	Massachusetts	UMass Lowell 		America East 	"2,100"	1964
"Lowell, MA, Tsongas Center at UMass Lowell"	Tsongas Center at UMass Lowell	Lowell	MA	Massachusetts	UMass Lowell 		America East 	"6,496"	1998
"Catonsville, MD, UMBC Event Center"	UMBC Event Center	Catonsville	MD	Maryland	UMBC 		America East 	"5,000"	2018
"Burlington, VT, Patrick Gym"	Patrick Gym	Burlington	VT	Vermont	Vermont 		America East 	"3,228"	1963
"Cincinnati, OH, Fifth Third Arena"	Fifth Third Arena	Cincinnati	OH	Ohio	Cincinnati 		The American 	"13,176"	1989
"Storrs, CT, Harry A. Gampel Pavilion[a]"	Harry A. Gampel Pavilion[a]	Storrs	CT	Connecticut	Connecticut 		The American 	"10,167"	1990
"Greenville, NC, Williams Arena at Minges Coliseum"	Williams Arena at Minges Coliseum	Greenville	NC	North Carolina	East Carolina 		The American 	"8,000"	1968
"Houston, TX, Fertitta Center"	Fertitta Center	Houston	TX	Texas	Houston 		The American 	"8,469"	1969
"Memphis, TN, FedExForum"	FedExForum	Memphis	TN	Tennessee	Memphis 	Men	The American 	"18,119"	2004
"University Park, TX, Moody Coliseum"	Moody Coliseum	University Park	TX	Texas	SMU 		The American 	"7,000"	1956
"Tampa, FL, Yuengling Center"	Yuengling Center	Tampa	FL	Florida	South Florida 		The American 	"10,411"	1980
"Philadelphia, PA, Liacouras Center[b]"	Liacouras Center[b]	Philadelphia	PA	Pennsylvania	Temple 		The American 	"10,205"	1997
"New Orleans, LA, Devlin Fieldhouse"	Devlin Fieldhouse	New Orleans	LA	Louisiana	Tulane 		The American 	"3,600"	1933
"Tulsa, OK, Reynolds Center"	Reynolds Center	Tulsa	OK	Oklahoma	Tulsa 		The American 	"8,355"	1998
"Orlando, FL, CFE Arena"	CFE Arena	Orlando	FL	Florida	UCF 		The American 	"9,465"	2007
"Wichita, KS, Charles Koch Arena[c]"	Charles Koch Arena[c]	Wichita	KS	Kansas	Wichita State 		The American 	"10,506"	1955
"Davidson, NC, John M. Belk Arena"	John M. Belk Arena	Davidson	NC	North Carolina	Davidson 		Atlantic 10 	"5,223"	1989
"Dayton, OH, University of Dayton Arena"	University of Dayton Arena	Dayton	OH	Ohio	Dayton 		Atlantic 10 	"13,435"	1969
"Pittsburgh, PA, Palumbo Center"	Palumbo Center	Pittsburgh	PA	Pennsylvania	Duquesne 		Atlantic 10 	"4,406"	1988
"Bronx, NY, Rose Hill Gymnasium"	Rose Hill Gymnasium	Bronx	NY	New York	Fordham 		Atlantic 10 	"3,200"	1925
"Fairfax, VA, EagleBank Arena"	EagleBank Arena	Fairfax	VA	Virginia	George Mason 		Atlantic 10 	"10,000"	1985
"Washington, DC, Charles E. Smith Center"	Charles E. Smith Center	Washington	DC	District of Columbia	George Washington 		Atlantic 10 	"5,000"	1975
"Philadelphia, PA, Tom Gola Arena"	Tom Gola Arena	Philadelphia	PA	Pennsylvania	La Salle 		Atlantic 10 	"3,400"	1998
"Amherst, MA, William D. Mullins Memorial Center"	William D. Mullins Memorial Center	Amherst	MA	Massachusetts	Massachusetts 		Atlantic 10 	"9,493"	1993
"Kingston, RI, Ryan Center"	Ryan Center	Kingston	RI	Rhode Island	Rhode Island 		Atlantic 10 	"7,657"	2002
"Richmond, VA, Robins Center"	Robins Center	Richmond	VA	Virginia	Richmond 		Atlantic 10 	"7,201"	1972
"St. Bonaventure, NY, Reilly Center"	Reilly Center	St. Bonaventure	NY	New York	St. Bonaventure 		Atlantic 10 	"5,480"	1966
"Philadelphia, PA, Hagan Arena"	Hagan Arena	Philadelphia	PA	Pennsylvania	Saint Joseph's 		Atlantic 10 	"4,200"	1949
"St. Louis, MO, Chaifetz Arena"	Chaifetz Arena	St. Louis	MO	Missouri	Saint Louis 		Atlantic 10 	"10,600"	2008
"Richmond, VA, Siegel Center"	Siegel Center	Richmond	VA	Virginia	Virginia Commonwealth 		Atlantic 10 	"7,617"	1999
"Fort Myers, FL, Alico Arena"	Alico Arena	Fort Myers	FL	Florida	Florida Gulf Coast 		ASUN 	"4,500"	2002
"Jacksonville, FL, Swisher Gymnasium"	Swisher Gymnasium	Jacksonville	FL	Florida	Jacksonville 		ASUN 	"1,500"	1953
"Kennesaw, GA, KSU Convocation Center"	KSU Convocation Center	Kennesaw	GA	Georgia	Kennesaw State 		ASUN 	"4,792"	2003
"Lynchburg, VA, Vines Center"	Vines Center	Lynchburg	VA	Virginia	Liberty 		ASUN 	"9,547"	1990
"Florence, AL, Flowers Hall"	Flowers Hall	Florence	AL	Alabama	North Alabama 		ASUN 	"3,900"	1972
"Nashville, TN, Allen Arena"	Allen Arena	Nashville	TN	Tennessee	Lipscomb 		ASUN 	"5,028"	2001
"Newark, NJ, Wellness and Events Center"	Wellness and Events Center	Newark	NJ	New Jersey	NJIT 		ASUN 	"3,500"	2017
"Jacksonville, FL, UNF Arena"	UNF Arena	Jacksonville	FL	Florida	North Florida 		ASUN 	"5,800"	1993
"DeLand, FL, Edmunds Center"	Edmunds Center	DeLand	FL	Florida	Stetson 		ASUN 	"5,000"	1974
"Waco, TX, Ferrell Center"	Ferrell Center	Waco	TX	Texas	Baylor 		Big 12 	"10,347"	1988
"Ames, IA, Hilton Coliseum"	Hilton Coliseum	Ames	IA	Iowa	Iowa State 		Big 12 	"14,376"	1971
"Lawrence, KS, Allen Fieldhouse"	Allen Fieldhouse	Lawrence	KS	Kansas	Kansas 		Big 12 	"16,300"	1955
"Manhattan, KS, Bramlage Coliseum"	Bramlage Coliseum	Manhattan	KS	Kansas	Kansas State 		Big 12 	"12,528"	1988
"Norman, OK, Lloyd Noble Center"	Lloyd Noble Center	Norman	OK	Oklahoma	Oklahoma 		Big 12 	"11,528"	1973
"Stillwater, OK, Gallagher-Iba Arena"	Gallagher-Iba Arena	Stillwater	OK	Oklahoma	Oklahoma State 		Big 12 	"13,611"	1938
"Austin, TX, Frank Erwin Center"	Frank Erwin Center	Austin	TX	Texas	Texas 		Big 12 	"16,734"	1977
"Fort Worth, TX, Schollmaier Arena"	Schollmaier Arena	Fort Worth	TX	Texas	TCU 		Big 12 	"8,500"	1961
"Lubbock, TX, United Supermarkets Arena"	United Supermarkets Arena	Lubbock	TX	Texas	Texas Tech 		Big 12 	"15,020"	1999
"Morgantown, WV, WVU Coliseum"	WVU Coliseum	Morgantown	WV	West Virginia	West Virginia 		Big 12 	"14,000"	1970
