"","Address","Opening rounds","Regionals","Final Four","Lat","Lon"
"1","Birmingham, Alabama, Legacy Arena","1984, 1987, 2000, 2003, 2008","1982, 1985, 1988, 1995, 1997",NA,-86.8127501,33.5239475
"2","Tuscaloosa, Alabama, Memorial Coliseum","1974, 1975, 1981",NA,NA,-87.5397911,33.2029888
"3","Glendale, Arizona, University of Phoenix Stadium",NA,"2009","2017",-112.2625593,33.5276247
"4","Phoenix, Arizona, America West Arena / US Airways Center",NA,"1999, 2004, 2008, 2012",NA,-112.0712006,33.4457369
"5","Tempe, Arizona, ASU Activity Center","1975, 1976, 1978, 1980, 1992, 1996",NA,NA,-111.9310057,33.4245048
"6","Tucson, Arizona, McKale Center","1977, 1979, 1987, 1989, 1991, 1993, 1997, 2000, 2005, 2011","1974, 1980",NA,-110.9460745,32.2303021
"7","Little Rock (North Little Rock), Arkansas, Alltel Arena","2008",NA,NA,-92.2643235,34.7550895
"8","Anaheim, California, Arrowhead Pond of Anaheim / Honda Center","2008","1998, 2001, 2003, 2011, 2014, 2016, 2019",NA,-117.8764687,33.8078476
"9","Berkeley, California, Men's Gym","1958",NA,NA,-122.2990324,37.8659285
"10","Long Beach, California, Long Beach Convention Center","1986, 1990",NA,NA,-118.1893385,33.7652636
"11","Los Angeles, California, Los Angeles Memorial Sports Arena",NA,"1994","1968, 1972",-118.2878754,34.0140526
"12","Los Angeles, California, Pauley Pavilion","1979, 1981, 1988","1966, 1969, 1973, 1976, 1984",NA,-118.4468023,34.0704818
"13","Los Angeles, California, Staples Center",NA,"2013, 2015, 2018, 2020",NA,-118.2672541,34.0430175
"14","Oakland, California, Oakland–Alameda County Coliseum Arena / Oracle Arena",NA,"1990, 1995, 2006",NA,-122.2029607,37.7503024
"15","Palo Alto, California, Burnham Pavilion","1953",NA,NA,-122.164315,37.4284561
"16","Sacramento, California, ARCO Arena","1994, 1998, 2002, 2007",NA,NA,-121.5181284,38.6490388
"17","Sacramento, California, Golden 1 Center","2017, 2020",NA,NA,-121.4996191,38.5806415
"18","San Diego, California, San Diego Sports Arena",NA,NA,"1975",-117.212196,32.755274
"19","San Diego, California, Cox Arena / Viejas Arena","2001, 2006, 2014, 2018, 2022",NA,NA,-117.0746039,32.7738062
"20","San Francisco, California, California Coliseum",NA,"1939",NA,-122.197005,37.7537939
"21","San Francisco (Daly City), California, Cow Palace","1955, 1958","1959","1960",-122.4187365,37.7068282
"22","San Francisco, California, Chase Center",NA,"2022",NA,-122.3871226,37.7703706
"23","San Jose, California, San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center","2010, 2013, 2021","1997, 2002, 2007, 2017",NA,-121.9012447,37.3327507
"24","Denver, Colorado, McNichols Sports Arena","1999","1985, 1989, 1996","1990",-105.0201094,39.7438895
"25","Denver, Colorado, Pepsi Center","2004, 2008, 2011, 2016","2021",NA,-105.00771,39.74866
"26","Fort Collins, Colorado, Moby Arena","1967",NA,NA,-105.0932246,40.5756843
"27","Hartford, Connecticut, XL Center","1983, 1985, 1988, 1990, 1998, 2019",NA,NA,-72.6769853,41.768399
"28","Washington, D.C., District of Columbia, Verizon Center/Capital One Arena","1998, 2002, 2008, 2011","2006, 2013, 2019",NA,-77.0208799,38.8980581
"29","Jacksonville, Florida, Veterans Memorial Arena","2006, 2010, 2015, 2019",NA,NA,-81.645058,30.325811
"30","Miami, Florida, Miami Arena",NA,"1994",NA,-80.186969,25.7814014
"31","Miami, Florida, American Airlines Arena","2009",NA,NA,-80.186969,25.7814014
"32","Orlando, Florida, Amway Arena","1993, 1996, 1999, 2004",NA,NA,-81.3838535,28.5392214
"33","Orlando, Florida, Amway Center","2014, 2017",NA,NA,-81.3838535,28.5392214
"34","St. Petersburg, Florida, Tropicana Field","1994","1998","1999",-82.6533921,27.7682246
