"","Address","Arena","City","State  Abrv","State","Team","Gender Distinction","Conference","Capacity","Opened","Lat","Lon"
"1","Chestnut Hill, MA, Conte Forum","Conte Forum","Chestnut Hill","MA","Massachusetts","Boston College",NA,"ACC","8,606","1988",-71.1676364,42.3350945
"2","Clemson, SC, Littlejohn Coliseum","Littlejohn Coliseum","Clemson","SC","South Carolina","Clemson",NA,"ACC","10,000","1968",-82.8464242,34.6804137
"3","Durham, NC, Cameron Indoor Stadium","Cameron Indoor Stadium","Durham","NC","North Carolina","Duke",NA,"ACC","9,314","1940",-78.9424182,35.997174
"4","Tallahassee, FL, Donald L. Tucker Civic Center","Donald L. Tucker Civic Center","Tallahassee","FL","Florida","Florida State",NA,"ACC","12,100","1981",-84.2866581,30.4377823
"5","Atlanta, GA, Hank McCamish Pavilion","Hank McCamish Pavilion","Atlanta","GA","Georgia","Georgia Tech",NA,"ACC","8,600","1956",-84.3927714,33.780684
"6","Louisville, KY, KFC Yum! Center","KFC Yum! Center","Louisville","KY","Kentucky","Louisville",NA,"ACC","22,090","2010",-85.7538323,38.2577834
"7","Coral Gables, FL, Watsco Center","Watsco Center","Coral Gables","FL","Florida","Miami (FL)",NA,"ACC","7,972","2003",-80.2793919,25.7153067
"8","Chapel Hill, NC, Dean Smith Center","Dean Smith Center","Chapel Hill","NC","North Carolina","North Carolina Men","Men","ACC","21,750","1986",-79.0438731,35.8994844
"9","Raleigh, NC, PNC Arena","PNC Arena","Raleigh","NC","North Carolina","North Carolina State men","Men","ACC","19,557","1999",-78.7217946,35.8033394
"10","Notre Dame, IN, Edmund P. Joyce Center","Edmund P. Joyce Center","Notre Dame","IN","Indiana","Notre Dame",NA,"ACC","9,149","1968",-86.2311409,41.6972526
"11","Pittsburgh, PA, Petersen Events Center","Petersen Events Center","Pittsburgh","PA","Pennsylvania","Pittsburgh",NA,"ACC","12,508","2002",-79.9622834,40.4438281
"12","Syracuse, NY, Carrier Dome","Carrier Dome","Syracuse","NY","New York","Syracuse",NA,"ACC","35,446","1980",-76.1363161,43.0362269
"13","Charlottesville, VA, John Paul Jones Arena","John Paul Jones Arena","Charlottesville","VA","Virginia","Virginia",NA,"ACC","14,593","2006",-78.5067369,38.0459472
"14","Blacksburg, VA, Cassell Coliseum","Cassell Coliseum","Blacksburg","VA","Virginia","Virginia Tech",NA,"ACC","9,847","1962",-80.41948,37.22313
"15","Winston-Salem, NC, Lawrence Joel Veterans Memorial Coliseum","Lawrence Joel Veterans Memorial Coliseum","Winston-Salem","NC","North Carolina","Wake Forest",NA,"ACC","14,665","1989",-80.2574934,36.1277077
"16","Guilderland, NY, SEFCU Arena","SEFCU Arena","Guilderland","NY","New York","Albany",NA,"America East","4,538","1992",-73.8283427,42.6820352
"17","Vestal, NY, Binghamton University Events Center","Binghamton University Events Center","Vestal","NY","New York","Binghamton",NA,"America East","5,142","2004",-75.9719572,42.0934421
"18","Hartford, CT, Chase Arena","Chase Arena","Hartford","CT","Connecticut","Hartford",NA,"America East","4,017","1990",-72.7165307,41.8018395
"19","Bangor, ME, Cross Insurance Center","Cross Insurance Center","Bangor","ME","Maine","Maine",NA,"America East","5,800","2013",-68.77929,44.788802
"20","Durham, NH, Lundholm Gym","Lundholm Gym","Durham","NH","New Hampshire","New Hampshire",NA,"America East","3,500","1938",-70.9375613,43.1388127
"21","Stony Brook, NY, Island Federal Credit Union Arena","Island Federal Credit Union Arena","Stony Brook","NY","New York","Stony Brook",NA,"America East","4,160","1967",-73.12595,40.9174122
"22","Lowell, MA, Costello Athletic Center","Costello Athletic Center","Lowell","MA","Massachusetts","UMass Lowell",NA,"America East","2,100","1964",-71.3243687,42.6553218
"23","Lowell, MA, Tsongas Center at UMass Lowell","Tsongas Center at UMass Lowell","Lowell","MA","Massachusetts","UMass Lowell",NA,"America East","6,496","1998",-71.3132192,42.6502369
"24","Catonsville, MD, UMBC Event Center","UMBC Event Center","Catonsville","MD","Maryland","UMBC",NA,"America East","5,000","2018",-76.707431,39.2523419
"25","Burlington, VT, Patrick Gym","Patrick Gym","Burlington","VT","Vermont","Vermont",NA,"America East","3,228","1963",-73.1946516,44.4699564
"26","Cincinnati, OH, Fifth Third Arena","Fifth Third Arena","Cincinnati","OH","Ohio","Cincinnati",NA,"The American","13,176","1989",-84.5142013,39.1311671
"27","Storrs, CT, Harry A. Gampel Pavilion[a]","Harry A. Gampel Pavilion[a]","Storrs","CT","Connecticut","Connecticut",NA,"The American","10,167","1990",-72.2544231,41.805293
"28","Greenville, NC, Williams Arena at Minges Coliseum","Williams Arena at Minges Coliseum","Greenville","NC","North Carolina","East Carolina",NA,"The American","8,000","1968",-77.3673322,35.5974695
"29","Houston, TX, Fertitta Center","Fertitta Center","Houston","TX","Texas","Houston",NA,"The American","8,469","1969",-95.346933,29.7246681
"30","Memphis, TN, FedExForum","FedExForum","Memphis","TN","Tennessee","Memphis men","Men","The American","18,119","2004",-90.0504738,35.1382037
"31","University Park, TX, Moody Coliseum","Moody Coliseum","University Park","TX","Texas","SMU",NA,"The American","7,000","1956",-96.780687,32.8403428
"32","Tampa, FL, Yuengling Center","Yuengling Center","Tampa","FL","Florida","South Florida",NA,"The American","10,411","1980",-82.4065357,28.0592634
"33","Philadelphia, PA, Liacouras Center[b]","Liacouras Center[b]","Philadelphia","PA","Pennsylvania","Temple",NA,"The American","10,205","1997",-75.1585516,39.9798691
"34","New Orleans, LA, Devlin Fieldhouse","Devlin Fieldhouse","New Orleans","LA","Louisiana","Tulane",NA,"The American","3,600","1933",-90.1208204,29.939013
"35","Tulsa, OK, Reynolds Center","Reynolds Center","Tulsa","OK","Oklahoma","Tulsa",NA,"The American","8,355","1998",-95.9421255,36.1489954
"36","Orlando, FL, CFE Arena","CFE Arena","Orlando","FL","Florida","UCF",NA,"The American","9,465","2007",-81.1973669,28.607225
"37","Wichita, KS, Charles Koch Arena[c]","Charles Koch Arena[c]","Wichita","KS","Kansas","Wichita State",NA,"The American","10,506","1955",-97.2974408,37.7216934
"38","Davidson, NC, John M. Belk Arena","John M. Belk Arena","Davidson","NC","North Carolina","Davidson",NA,"Atlantic 10","5,223","1989",-80.8403689,35.4992686
"39","Dayton, OH, University of Dayton Arena","University of Dayton Arena","Dayton","OH","Ohio","Dayton",NA,"Atlantic 10","13,435","1969",-84.1997159,39.7356112
"40","Pittsburgh, PA, Palumbo Center","Palumbo Center","Pittsburgh","PA","Pennsylvania","Duquesne",NA,"Atlantic 10","4,406","1988",-79.9878928,40.4373509
"41","Bronx, NY, Rose Hill Gymnasium","Rose Hill Gymnasium","Bronx","NY","New York","Fordham",NA,"Atlantic 10","3,200","1925",-73.8837651,40.862211
"42","Fairfax, VA, EagleBank Arena","EagleBank Arena","Fairfax","VA","Virginia","George Mason",NA,"Atlantic 10","10,000","1985",-77.3089367,38.8260676
"43","Washington, DC, Charles E. Smith Center","Charles E. Smith Center","Washington","DC","District of Columbia","George Washington",NA,"Atlantic 10","5,000","1975",-77.049338,38.8978433
"44","Philadelphia, PA, Tom Gola Arena","Tom Gola Arena","Philadelphia","PA","Pennsylvania","La Salle",NA,"Atlantic 10","3,400","1998",-75.1565641,40.0399077
"45","Amherst, MA, William D. Mullins Memorial Center","William D. Mullins Memorial Center","Amherst","MA","Massachusetts","Massachusetts",NA,"Atlantic 10","9,493","1993",-72.5334464,42.389382
"46","Kingston, RI, Ryan Center","Ryan Center","Kingston","RI","Rhode Island","Rhode Island",NA,"Atlantic 10","7,657","2002",-71.5357485,41.4877684
"47","Richmond, VA, Robins Center","Robins Center","Richmond","VA","Virginia","Richmond",NA,"Atlantic 10","7,201","1972",-77.5388335,37.5807848
"48","St. Bonaventure, NY, Reilly Center","Reilly Center","St. Bonaventure","NY","New York","St. Bonaventure",NA,"Atlantic 10","5,480","1966",-78.4849211,42.0795846
"49","Philadelphia, PA, Hagan Arena","Hagan Arena","Philadelphia","PA","Pennsylvania","Saint Joseph's",NA,"Atlantic 10","4,200","1949",-75.2350576,39.995661
"50","St. Louis, MO, Chaifetz Arena","Chaifetz Arena","St. Louis","MO","Missouri","Saint Louis",NA,"Atlantic 10","10,600","2008",-90.227955,38.632511
"51","Richmond, VA, Siegel Center","Siegel Center","Richmond","VA","Virginia","Virginia Commonwealth",NA,"Atlantic 10","7,617","1999",-77.4529507,37.5529242
"52","Fort Myers, FL, Alico Arena","Alico Arena","Fort Myers","FL","Florida","Florida Gulf Coast",NA,"ASUN","4,500","2002",-81.7646879,26.4708212
"53","Jacksonville, FL, Swisher Gymnasium","Swisher Gymnasium","Jacksonville","FL","Florida","Jacksonville",NA,"ASUN","1,500","1953",-81.6049621,30.3502343
"54","Kennesaw, GA, KSU Convocation Center","KSU Convocation Center","Kennesaw","GA","Georgia","Kennesaw State",NA,"ASUN","4,792","2003",-84.5803692,34.0368592
"55","Lynchburg, VA, Vines Center","Vines Center","Lynchburg","VA","Virginia","Liberty",NA,"ASUN","9,547","1990",-79.1810641,37.348916
"56","Florence, AL, Flowers Hall","Flowers Hall","Florence","AL","Alabama","North Alabama",NA,"ASUN","3,900","1972",-87.6837689,34.8084699
"57","Nashville, TN, Allen Arena","Allen Arena","Nashville","TN","Tennessee","Lipscomb",NA,"ASUN","5,028","2001",-86.7989168,36.1037312
"58","Newark, NJ, Wellness and Events Center","Wellness and Events Center","Newark","NJ","New Jersey","NJIT",NA,"ASUN","3,500","2017",-74.1804421,40.7422515
"59","Jacksonville, FL, UNF Arena","UNF Arena","Jacksonville","FL","Florida","North Florida",NA,"ASUN","5,800","1993",-81.5079992,30.2734675
"60","DeLand, FL, Edmunds Center","Edmunds Center","DeLand","FL","Florida","Stetson",NA,"ASUN","5,000","1974",-81.3018584,29.0395387
"61","Waco, TX, Ferrell Center","Ferrell Center","Waco","TX","Texas","Baylor",NA,"Big 12","10,347","1988",-97.1057569,31.5479445
"62","Ames, IA, Hilton Coliseum","Hilton Coliseum","Ames","IA","Iowa","Iowa State",NA,"Big 12","14,376","1971",-93.634821,42.021009
"63","Lawrence, KS, Allen Fieldhouse","Allen Fieldhouse","Lawrence","KS","Kansas","Kansas",NA,"Big 12","16,300","1955",-95.2527792,38.954145
"64","Manhattan, KS, Bramlage Coliseum","Bramlage Coliseum","Manhattan","KS","Kansas","Kansas State",NA,"Big 12","12,528","1988",-96.5938128,39.2003584
"65","Norman, OK, Lloyd Noble Center","Lloyd Noble Center","Norman","OK","Oklahoma","Oklahoma",NA,"Big 12","11,528","1973",-97.443696,35.1874
"66","Stillwater, OK, Gallagher-Iba Arena","Gallagher-Iba Arena","Stillwater","OK","Oklahoma","Oklahoma State",NA,"Big 12","13,611","1938",-97.0650012,36.1257301
"67","Austin, TX, Frank Erwin Center","Frank Erwin Center","Austin","TX","Texas","Texas",NA,"Big 12","16,734","1977",-97.7321651,30.2769698
"68","Fort Worth, TX, Schollmaier Arena","Schollmaier Arena","Fort Worth","TX","Texas","TCU",NA,"Big 12","8,500","1961",-97.3667142,32.7088144
"69","Lubbock, TX, United Supermarkets Arena","United Supermarkets Arena","Lubbock","TX","Texas","Texas Tech",NA,"Big 12","15,020","1999",-101.886563,33.581334
"70","Morgantown, WV, WVU Coliseum","WVU Coliseum","Morgantown","WV","West Virginia","West Virginia",NA,"Big 12","14,000","1970",-79.9815603,39.6493379
"71","Indianapolis, IN, Hinkle Fieldhouse","Hinkle Fieldhouse","Indianapolis","IN","Indiana","Butler",NA,"Big East","9,100","1928",-86.1673075,39.8435575
"72","Omaha, NE, CHI Health Center Omaha","CHI Health Center Omaha","Omaha","NE","Nebraska","Creighton men","Men","Big East","18,320","2003",-95.9282394,41.2624236
"73","Chicago, IL, Wintrust Arena","Wintrust Arena","Chicago","IL","Illinois","DePaul",NA,"Big East","10,387","2017",-87.6213473,41.853739
"74","Washington, DC, Capital One Arena","Capital One Arena","Washington","DC","District of Columbia","Georgetown men","Men","Big East","20,308","1997",-77.0208799,38.8980581
"75","Milwaukee, WI, Fiserv Forum","Fiserv Forum","Milwaukee","WI","Wisconsin","Marquette men","Men","Big East","17,500","2018",-87.9174016,43.044901
"76","Providence, RI, Dunkin' Donuts Center","Dunkin' Donuts Center","Providence","RI","Rhode Island","Providence men","Men","Big East","12,400","1972",-71.4179556,41.8236281
"77","Newark, NJ, Prudential Center","Prudential Center","Newark","NJ","New Jersey","Seton Hall men","Men","Big East","18,711","2007",-74.1710255,40.7335424
"78","New York, NY, Madison Square Garden[d]","Madison Square Garden[d]","New York","NY","New York","St. John's men","Men","Big East","19,812","1968",-73.9934387,40.7505045
"79","Villanova, PA, Finneran Pavilion[e]","Finneran Pavilion[e]","Villanova","PA","Pennsylvania","Villanova",NA,"Big East","6,500","1986",-75.336514,40.034042
"80","Cincinnati, OH, Cintas Center","Cintas Center","Cincinnati","OH","Ohio","Xavier",NA,"Big East","10,250","2000",-84.4718415,39.1503616
"81","Cheney, WA, Reese Court","Reese Court","Cheney","WA","Washington","Eastern Washington",NA,"Big Sky","6,000","1981",-117.5893925,47.4913724
"82","Moscow, ID, Cowan Spectrum[f]","Cowan Spectrum[f]","Moscow","ID","Idaho","Idaho",NA,"Big Sky","7,000","1975",-117.0173906,46.7263518
"83","Pocatello, ID, Holt Arena","Holt Arena","Pocatello","ID","Idaho","Idaho State men","Men","Big Sky","8,000","1970",-112.4285716,42.8699998
"84","Missoula, MT, Dahlberg Arena","Dahlberg Arena","Missoula","MT","Montana","Montana",NA,"Big Sky","7,321","1953",-113.983347,46.8635552
"85","Bozeman, MT, Worthington Arena","Worthington Arena","Bozeman","MT","Montana","Montana State",NA,"Big Sky","7,250","1957",-111.0506591,45.6633486
"86","Flagstaff, AZ, Walkup Skydome","Walkup Skydome","Flagstaff","AZ","Arizona","Northern Arizona",NA,"Big Sky","11,230","1977",-111.6528102,35.1805078
