"","X1","Tourney_Address","Tourney_Lat","Tourney_Lon","Tourney_Round","Tourney_Round_Year","Tourney_City","Tourney_State","Tourney_Stadium","Tourney_Postal_Code"
"1",1,"Birmingham, Alabama, Legacy Arena",-86.8127501,33.5239475,"Opening rounds",1984,"Birmingham","Alabama","Legacy Arena","AL"
"2",1,"Birmingham, Alabama, Legacy Arena",-86.8127501,33.5239475,"Opening rounds",1987,"Birmingham","Alabama","Legacy Arena","AL"
"3",1,"Birmingham, Alabama, Legacy Arena",-86.8127501,33.5239475,"Opening rounds",2000,"Birmingham","Alabama","Legacy Arena","AL"
"4",1,"Birmingham, Alabama, Legacy Arena",-86.8127501,33.5239475,"Opening rounds",2003,"Birmingham","Alabama","Legacy Arena","AL"
"5",1,"Birmingham, Alabama, Legacy Arena",-86.8127501,33.5239475,"Opening rounds",2008,"Birmingham","Alabama","Legacy Arena","AL"
"6",2,"Tuscaloosa, Alabama, Memorial Coliseum",-87.5397911,33.2029888,"Opening rounds",1974,"Tuscaloosa","Alabama","Memorial Coliseum","AL"
"7",2,"Tuscaloosa, Alabama, Memorial Coliseum",-87.5397911,33.2029888,"Opening rounds",1975,"Tuscaloosa","Alabama","Memorial Coliseum","AL"
"8",2,"Tuscaloosa, Alabama, Memorial Coliseum",-87.5397911,33.2029888,"Opening rounds",1981,"Tuscaloosa","Alabama","Memorial Coliseum","AL"
"9",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1975,"Tempe","Arizona","ASU Activity Center","AZ"
"10",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1976,"Tempe","Arizona","ASU Activity Center","AZ"
"11",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1978,"Tempe","Arizona","ASU Activity Center","AZ"
"12",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1980,"Tempe","Arizona","ASU Activity Center","AZ"
"13",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1992,"Tempe","Arizona","ASU Activity Center","AZ"
"14",5,"Tempe, Arizona, ASU Activity Center",-111.9310057,33.4245048,"Opening rounds",1996,"Tempe","Arizona","ASU Activity Center","AZ"
"15",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1977,"Tucson","Arizona","McKale Center","AZ"
"16",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1979,"Tucson","Arizona","McKale Center","AZ"
"17",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1987,"Tucson","Arizona","McKale Center","AZ"
"18",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1989,"Tucson","Arizona","McKale Center","AZ"
"19",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1991,"Tucson","Arizona","McKale Center","AZ"
"20",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1993,"Tucson","Arizona","McKale Center","AZ"
"21",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",1997,"Tucson","Arizona","McKale Center","AZ"
"22",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",2000,"Tucson","Arizona","McKale Center","AZ"
"23",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",2005,"Tucson","Arizona","McKale Center","AZ"
"24",6,"Tucson, Arizona, McKale Center",-110.9460745,32.2303021,"Opening rounds",2011,"Tucson","Arizona","McKale Center","AZ"
"25",7,"Little Rock (North Little Rock), Arkansas, Alltel Arena",-92.2643235,34.7550895,"Opening rounds",2008,"Little Rock (North Little Rock)","Arkansas","Alltel Arena","AR"
"26",8,"Anaheim, California, Arrowhead Pond of Anaheim / Honda Center",-117.8764687,33.8078476,"Opening rounds",2008,"Anaheim","California","Arrowhead Pond of Anaheim / Honda Center","CA"
"27",9,"Berkeley, California, Men's Gym",-122.2990324,37.8659285,"Opening rounds",1958,"Berkeley","California","Men's Gym","CA"
"28",10,"Long Beach, California, Long Beach Convention Center",-118.1893385,33.7652636,"Opening rounds",1986,"Long Beach","California","Long Beach Convention Center","CA"
"29",10,"Long Beach, California, Long Beach Convention Center",-118.1893385,33.7652636,"Opening rounds",1990,"Long Beach","California","Long Beach Convention Center","CA"
"30",12,"Los Angeles, California, Pauley Pavilion",-118.4468023,34.0704818,"Opening rounds",1979,"Los Angeles","California","Pauley Pavilion","CA"
"31",12,"Los Angeles, California, Pauley Pavilion",-118.4468023,34.0704818,"Opening rounds",1981,"Los Angeles","California","Pauley Pavilion","CA"
"32",12,"Los Angeles, California, Pauley Pavilion",-118.4468023,34.0704818,"Opening rounds",1988,"Los Angeles","California","Pauley Pavilion","CA"
"33",15,"Palo Alto, California, Burnham Pavilion",-122.164315,37.4284561,"Opening rounds",1953,"Palo Alto","California","Burnham Pavilion","CA"
"34",16,"Sacramento, California, ARCO Arena",-121.5181284,38.6490388,"Opening rounds",1994,"Sacramento","California","ARCO Arena","CA"
"35",16,"Sacramento, California, ARCO Arena",-121.5181284,38.6490388,"Opening rounds",1998,"Sacramento","California","ARCO Arena","CA"
"36",16,"Sacramento, California, ARCO Arena",-121.5181284,38.6490388,"Opening rounds",2002,"Sacramento","California","ARCO Arena","CA"
"37",16,"Sacramento, California, ARCO Arena",-121.5181284,38.6490388,"Opening rounds",2007,"Sacramento","California","ARCO Arena","CA"
"38",17,"Sacramento, California, Golden 1 Center",-121.4996191,38.5806415,"Opening rounds",2017,"Sacramento","California","Golden 1 Center","CA"
"39",17,"Sacramento, California, Golden 1 Center",-121.4996191,38.5806415,"Opening rounds",2020,"Sacramento","California","Golden 1 Center","CA"
"40",19,"San Diego, California, Cox Arena / Viejas Arena",-117.0746039,32.7738062,"Opening rounds",2001,"San Diego","California","Cox Arena / Viejas Arena","CA"
"41",19,"San Diego, California, Cox Arena / Viejas Arena",-117.0746039,32.7738062,"Opening rounds",2006,"San Diego","California","Cox Arena / Viejas Arena","CA"
"42",19,"San Diego, California, Cox Arena / Viejas Arena",-117.0746039,32.7738062,"Opening rounds",2014,"San Diego","California","Cox Arena / Viejas Arena","CA"
"43",19,"San Diego, California, Cox Arena / Viejas Arena",-117.0746039,32.7738062,"Opening rounds",2018,"San Diego","California","Cox Arena / Viejas Arena","CA"
"44",19,"San Diego, California, Cox Arena / Viejas Arena",-117.0746039,32.7738062,"Opening rounds",2022,"San Diego","California","Cox Arena / Viejas Arena","CA"
"45",21,"San Francisco (Daly City), California, Cow Palace",-122.4187365,37.7068282,"Opening rounds",1955,"San Francisco (Daly City)","California","Cow Palace","CA"
"46",21,"San Francisco (Daly City), California, Cow Palace",-122.4187365,37.7068282,"Opening rounds",1958,"San Francisco (Daly City)","California","Cow Palace","CA"
"47",23,"San Jose, California, San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center",-121.9012447,37.3327507,"Opening rounds",2010,"San Jose","California","San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center","CA"
"48",23,"San Jose, California, San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center",-121.9012447,37.3327507,"Opening rounds",2013,"San Jose","California","San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center","CA"
"49",23,"San Jose, California, San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center",-121.9012447,37.3327507,"Opening rounds",2021,"San Jose","California","San Jose Arena / Compaq Center at San Jose / HP Pavilion at San Jose / SAP Center","CA"
"50",24,"Denver, Colorado, McNichols Sports Arena",-105.0201094,39.7438895,"Opening rounds",1999,"Denver","Colorado","McNichols Sports Arena","CO"
"51",25,"Denver, Colorado, Pepsi Center",-105.00771,39.74866,"Opening rounds",2004,"Denver","Colorado","Pepsi Center","CO"
"52",25,"Denver, Colorado, Pepsi Center",-105.00771,39.74866,"Opening rounds",2008,"Denver","Colorado","Pepsi Center","CO"
"53",25,"Denver, Colorado, Pepsi Center",-105.00771,39.74866,"Opening rounds",2011,"Denver","Colorado","Pepsi Center","CO"
"54",25,"Denver, Colorado, Pepsi Center",-105.00771,39.74866,"Opening rounds",2016,"Denver","Colorado","Pepsi Center","CO"
"55",26,"Fort Collins, Colorado, Moby Arena",-105.0932246,40.5756843,"Opening rounds",1967,"Fort Collins","Colorado","Moby Arena","CO"
"56",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",1983,"Hartford","Connecticut","XL Center","CT"
"57",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",1985,"Hartford","Connecticut","XL Center","CT"
"58",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",1988,"Hartford","Connecticut","XL Center","CT"
"59",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",1990,"Hartford","Connecticut","XL Center","CT"
"60",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",1998,"Hartford","Connecticut","XL Center","CT"
"61",27,"Hartford, Connecticut, XL Center",-72.6769853,41.768399,"Opening rounds",2019,"Hartford","Connecticut","XL Center","CT"
"62",28,"Washington, D.C., Verizon Center/Capital One Arena",-77.0208799,38.8980581,"Opening rounds",1998,"Washington","DC","Verizon Center/Capital One Arena",NA
"63",28,"Washington, D.C., Verizon Center/Capital One Arena",-77.0208799,38.8980581,"Opening rounds",2002,"Washington","DC","Verizon Center/Capital One Arena",NA
"64",28,"Washington, D.C., Verizon Center/Capital One Arena",-77.0208799,38.8980581,"Opening rounds",2008,"Washington","DC","Verizon Center/Capital One Arena",NA
"65",28,"Washington, D.C., Verizon Center/Capital One Arena",-77.0208799,38.8980581,"Opening rounds",2011,"Washington","DC","Verizon Center/Capital One Arena",NA
"66",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2006,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"67",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2010,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"68",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2015,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"69",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2019,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"70",31,"Miami, Florida, American Airlines Arena",-80.186969,25.7814014,"Opening rounds",2009,"Miami","Florida","American Airlines Arena","FL"
"71",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1993,"Orlando","Florida","Amway Arena","FL"
"72",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1996,"Orlando","Florida","Amway Arena","FL"
"73",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1999,"Orlando","Florida","Amway Arena","FL"
"74",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",2004,"Orlando","Florida","Amway Arena","FL"
"75",33,"Orlando, Florida, Amway Center",-81.3838535,28.5392214,"Opening rounds",2014,"Orlando","Florida","Amway Center","FL"
"76",33,"Orlando, Florida, Amway Center",-81.3838535,28.5392214,"Opening rounds",2017,"Orlando","Florida","Amway Center","FL"
"77",34,"St. Petersburg, Florida, Tropicana Field",-82.6533921,27.7682246,"Opening rounds",1994,"St. Petersburg","Florida","Tropicana Field","FL"
"78",35,"Tallahassee, Florida, Tallahassee–Leon County Civic Center",-84.2866581,30.4377823,"Opening rounds",1995,"Tallahassee","Florida","Tallahassee–Leon County Civic Center","FL"
"79",36,"Tampa, Florida, USF Sun Dome",-82.4065357,28.0592634,"Opening rounds",1983,"Tampa","Florida","USF Sun Dome","FL"
"80",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2003,"Tampa","Florida","Amalie Arena","FL"
"81",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2008,"Tampa","Florida","Amalie Arena","FL"
"82",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2011,"Tampa","Florida","Amalie Arena","FL"
"83",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2020,"Tampa","Florida","Amalie Arena","FL"
"84",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1985,"Atlanta","Georgia","Omni Coliseum","GA"
"85",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1987,"Atlanta","Georgia","Omni Coliseum","GA"
